Name, H, W, R, S, C, M, Sx, Sy, E_size, F_size, R_size, S_size, C_size, M_size, Start time, Finish time, Total cycles, Load Cycles, GEMM Cycles, Store Cycles, Load Util%, GEMM Util%, Store Util%, Reward, Episode, Step, Overflow_count
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 25, 1, 1, 32, 128, 0, 512265, 512265, 246997, 494208, 0, 48.217, 96.475, 0.000,-1.031178,3,39,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 25, 1, 1, 32, 128, 0, 291791, 291791, 247763, 272376, 0, 84.911, 93.346, 0.000,-0.156978,3,40,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 26, 1, 1, 32, 128, 0, 512425, 512425, 247314, 494208, 0, 48.263, 96.445, 0.000,-1.031812,3,41,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 25, 1, 1, 32, 128, 0, 512265, 512265, 246997, 494208, 0, 48.217, 96.475, 0.000,-1.031178,3,42,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 25, 1, 1, 32, 128, 0, 512265, 512265, 246997, 494208, 0, 48.217, 96.475, 0.000,-1.031178,3,43,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 24, 1, 1, 32, 128, 0, 291625, 291625, 246813, 272376, 0, 84.634, 93.399, 0.000,-0.156320,3,44,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 24, 1, 1, 32, 128, 0, 512263, 512263, 247053, 494208, 0, 48.228, 96.475, 0.000,-1.031170,3,45,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 25, 1, 1, 32, 128, 0, 512265, 512265, 246997, 494208, 0, 48.217, 96.475, 0.000,-1.031178,3,46,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 25, 1, 1, 32, 128, 0, 512265, 512265, 246997, 494208, 0, 48.217, 96.475, 0.000,-1.031178,3,47,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 26, 1, 1, 32, 128, 0, 512425, 512425, 247314, 494208, 0, 48.263, 96.445, 0.000,-1.031812,3,48,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 26, 1, 1, 32, 128, 0, 512425, 512425, 247314, 494208, 0, 48.263, 96.445, 0.000,-1.031812,3,49,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 26, 1, 1, 32, 128, 0, 512425, 512425, 247314, 494208, 0, 48.263, 96.445, 0.000,-1.031812,3,50,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 26, 1, 1, 32, 128, 0, 512425, 512425, 247314, 494208, 0, 48.263, 96.445, 0.000,-1.031812,3,51,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 26, 1, 1, 32, 128, 0, 512425, 512425, 247314, 494208, 0, 48.263, 96.445, 0.000,-1.031812,3,52,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 26, 1, 1, 32, 128, 0, 512425, 512425, 247314, 494208, 0, 48.263, 96.445, 0.000,-1.031812,3,53,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 25, 1, 1, 32, 128, 0, 512265, 512265, 246997, 494208, 0, 48.217, 96.475, 0.000,-1.031178,3,54,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 26, 1, 1, 32, 128, 0, 512425, 512425, 247314, 494208, 0, 48.263, 96.445, 0.000,-1.031812,3,55,0,
