Name, H, W, R, S, C, M, Sx, Sy, E_size, F_size, R_size, S_size, C_size, M_size, Start time, Finish time, Total cycles, Load Cycles, GEMM Cycles, Store Cycles, Load Util%, GEMM Util%, Store Util%, Reward, Episode, Step, Overflow_count
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 43.000, 52.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -4.589844, 0, 11, 12,
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 44.000, 53.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -6.933594, 0, 12, 13,
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 43.000, 54.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -6.689453, 0, 13, 14,
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 43.000, 55.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -7.739258, 0, 14, 15,
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 42.000, 55.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -6.396484, 0, 15, 16,
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 41.000, 55.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -5.053711, 0, 16, 17,
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 40.000, 56.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -4.687500, 0, 17, 18,
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 39.000, 56.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -3.320312, 0, 18, 19,
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 39.000, 57.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -4.272461, 0, 19, 20,
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 38.000, 58.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -3.808594, 0, 20, 21,
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 37.000, 58.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -2.392578, 0, 21, 22,
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 36.000, 59.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -1.855469, 0, 22, 23,
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 35.000, 59.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -0.415039, 0, 23, 24,
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 34, 60, 1, 1, 32, 128, 0, 8917533, 8917533, 5350937, 1614428, 3363173, 60.005, 18.104, 37.714,0.930544,0,24,24,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 34, 60, 1, 1, 32, 128, 0, 8917533, 8917533, 5350937, 1614428, 3363173, 60.005, 18.104, 37.714,0.930544,0,25,24,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 33, 60, 1, 1, 32, 128, 0, 8870153, 8870153, 5350176, 1614428, 3352678, 60.317, 18.201, 37.797,1.456913,0,26,24,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 32, 60, 1, 1, 32, 128, 0, 8823803, 8823803, 5350435, 1614428, 3342401, 60.636, 18.296, 37.879,1.971839,0,27,24,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 31, 60, 1, 1, 32, 128, 0, 8747093, 8747093, 5350834, 1614428, 3331661, 61.173, 18.457, 38.089,2.824050,0,28,24,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 30, 60, 1, 1, 32, 128, 0, 8739733, 8739733, 5350334, 1646035, 3321413, 61.219, 18.834, 38.004,2.905816,0,29,24,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 29, 60, 1, 1, 32, 128, 0, 9048173, 9048173, 5349857, 1646035, 3411798, 59.126, 18.192, 37.707,-0.005208,0,30,24,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 29, 60, 1, 1, 32, 128, 0, 9048173, 9048173, 5349857, 1646035, 3411798, 59.126, 18.192, 37.707,-0.005208,0,31,24,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 28, 60, 1, 1, 32, 128, 0, 8988873, 8988873, 5349963, 1646035, 3397689, 59.518, 18.312, 37.799,0.137991,0,32,24,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 27, 60, 1, 1, 32, 128, 0, 8930173, 8930173, 5350420, 1646035, 3383902, 59.914, 18.432, 37.893,0.790120,0,33,24,
